Fecha,EquipoLocalID,EquipoVisitID,GolesLocal,GolesVisit,Tiros Local,Tiros Visit,Tiros a puerta Local,Tiros a puerta Visit,Posesion Local,Posesion Visit,Pases Local,Pases Visit,Precision de pases Local,Precision de pases Visit,Faltas Local,Faltas Visit,Tarjetas amarillas Local,Tarjetas amarillas Visit,Tarjetas rojas Local,Tarjetas rojas Visit,Fueras de juego Local,Fueras de juego Visit,Saques de esquina Local,Saques de esquina Visit
11/8/23,AMOREBIETA,LEVANTE,1,1,11,7,3,2,0.41,0.59,295,431,0.72,0.78,20,18,0,3,0,0,2,2,8,2
11/8/23,VALLADOLID,GIJON,2,0,17,9,6,3,0.47,0.53,376,426,0.84,0.82,12,15,5,5,0,0,5,0,8,2
12/8/23,SANTANDER,EIBAR,4,0,11,15,8,3,0.38,0.62,352,557,0.73,0.84,10,14,2,3,0,0,2,1,4,6
12/8/23,ZARAGOZA,VILLARREALB,2,0,16,11,7,2,0.54,0.46,491,434,0.85,0.84,9,8,2,4,0,0,3,1,4,0
12/8/23,ELCHE,FERROL,0,1,14,10,1,2,0.56,0.44,467,379,0.83,0.76,13,15,0,2,0,0,3,0,4,4
13/8/23,BURGOS,HUESCA,1,1,19,5,5,2,0.49,0.51,354,367,0.78,0.8,5,14,2,4,0,0,2,1,6,5
13/8/23,ALBACETE,ESPANYOL,1,1,17,8,6,3,0.56,0.44,357,294,0.77,0.71,14,19,3,3,0,0,1,1,7,4
13/8/23,CARTAGENA,ELDENSE,0,1,12,8,2,2,0.56,0.44,434,351,0.82,0.8,9,18,1,1,0,0,1,2,6,6
13/8/23,LEGANES,ANDORRA,0,1,12,14,4,4,0.32,0.68,283,611,0.76,0.87,25,12,5,1,0,0,3,1,2,2
14/8/23,MIRANDES,ALCORCON,4,0,17,18,6,6,0.38,0.62,350,551,0.73,0.8,14,6,1,1,0,0,0,6,2,5
14/8/23,TENERIFE,OVIEDO,1,0,10,7,3,0,0.54,0.46,368,315,0.72,0.64,17,7,6,0,0,0,3,3,6,4
18/8/23,ANDORRA,CARTAGENA,3,2,17,5,5,3,0.73,0.27,646,235,0.9,0.72,14,11,2,4,0,0,1,4,6,0
18/8/23,ZARAGOZA,VALLADOLID,1,0,12,11,5,5,0.42,0.58,317,430,0.76,0.86,10,14,3,2,0,0,7,2,5,0
19/8/23,EIBAR,ELCHE,2,1,11,13,5,3,0.48,0.52,391,406,0.76,0.78,13,8,1,2,0,0,5,2,6,4
19/8/23,ESPANYOL,SANTANDER,2,0,21,12,6,2,0.46,0.54,404,456,0.79,0.8,23,17,1,2,0,0,2,5,6,7
19/8/23,LEVANTE,BURGOS,3,2,18,15,11,7,0.51,0.49,399,394,0.8,0.8,19,7,4,3,0,0,1,2,4,4
19/8/23,ALCORCON,LEGANES,0,2,15,7,3,4,0.49,0.51,356,371,0.78,0.74,12,16,2,4,0,0,2,2,8,5
20/8/23,OVIEDO,FERROL,1,1,16,5,3,1,0.59,0.41,462,336,0.8,0.7,8,12,2,1,0,1,0,1,6,3
20/8/23,GIJON,MIRANDES,3,0,12,22,7,11,0.51,0.49,378,362,0.78,0.74,11,12,2,2,0,0,1,1,7,11
20/8/23,ALBACETE,AMOREBIETA,2,2,18,13,8,3,0.61,0.39,563,362,0.82,0.72,11,8,2,0,0,0,2,1,4,7
21/8/23,VILLARREALB,ELDENSE,3,1,13,12,6,3,0.44,0.56,420,516,0.8,0.82,17,17,2,1,0,0,1,3,2,5
21/8/23,HUESCA,TENERIFE,0,2,12,11,4,5,0.54,0.46,406,363,0.72,0.66,7,18,0,4,0,0,2,4,4,2
25/8/23,CARTAGENA,LEVANTE,0,1,9,13,3,5,0.56,0.44,465,377,0.83,0.79,14,15,4,6,0,0,1,1,2,12
26/8/23,BURGOS,OVIEDO,1,0,16,10,5,3,0.59,0.41,448,302,0.82,0.75,13,16,4,2,0,1,1,1,4,3
26/8/23,TENERIFE,ZARAGOZA,0,1,14,7,2,4,0.54,0.46,388,343,0.8,0.76,19,10,3,3,1,0,3,2,11,3
26/8/23,ELCHE,VILLARREALB,1,0,18,12,8,3,0.49,0.51,439,457,0.82,0.81,14,8,2,0,0,0,3,2,4,4
26/8/23,VALLADOLID,ALCORCON,0,2,28,12,2,5,0.73,0.27,574,228,0.85,0.62,10,20,1,4,0,0,4,3,10,3
27/8/23,FERROL,GIJON,2,0,7,4,3,1,0.45,0.55,362,438,0.80,0.82,12,16,0,2,0,0,3,8,2,0
27/8/23,MIRANDES,ESPANYOL,0,1,5,17,1,4,0.52,0.48,429,402,0.81,0.8,12,13,4,2,0,0,2,2,4,7
27/8/23,AMOREBIETA,ANDORRA,3,0,9,15,4,5,0.24,0.76,217,693,0.67,0.88,14,8,2,1,0,0,1,2,3,7
27/8/23,LEGANES,ALBACETE,2,0,11,12,2,3,0.33,0.67,301,606,0.65,0.82,9,15,3,2,0,0,0,1,2,5
28/8/23,ELDENSE,EIBAR,2,1,7,12,4,2,0.39,0.61,320,477,0.68,0.8,8,11,1,4,0,0,1,3,6,4
28/8/23,SANTANDER,HUESCA,0,0,10,14,0,0,0.62,0.38,303,242,0.73,0.59,16,16,5,5,0,0,1,4,12,6
1/9/23,ALCORCON,FERROL,1,1,12,7,3,2,0.45,0.55,389,481,0.73,0.78,11,9,3,1,0,0,3,0,3,1
1/9/23,ALBACETE,VALLADOLID,2,0,11,7,3,1,0.44,0.56,360,448,0.72,0.76,19,12,1,5,0,0,0,0,5,4
2/9/23,GIJON,BURGOS,2,1,17,5,2,2,0.56,0.44,459,373,0.79,0.77,12,15,1,1,0,0,1,3,10,2
2/9/23,LEVANTE,OVIEDO,1,1,17,11,4,2,0.74,0.26,600,211,0.85,0.6,18,11,3,1,0,1,4,2,4,2
2/9/23,ELCHE,SANTANDER,1,1,24,12,6,6,0.59,0.41,495,358,0.81,0.78,11,16,0,3,1,0,3,0,8,1
2/9/23,VILLARREALB,CARTAGENA,1,2,18,13,6,6,0.59,0.41,548,364,0.87,0.78,9,14,2,3,0,0,0,1,3,7
3/9/23,ANDORRA,TENERIFE,0,1,16,10,2,4,0.77,0.23,643,189,0.88,0.62,7,18,0,3,0,0,2,4,8,4
3/9/23,EIBAR,LEGANES,0,1,20,2,2,1,0.78,0.22,639,191,0.84,0.49,11,14,2,3,0,0,4,1,8,1
3/9/23,ZARAGOZA,ELDENSE,2,0,13,8,1,3,0.6,0.4,457,308,0.81,0.73,6,13,2,1,0,0,2,2,1,3
3/9/23,ESPANYOL,AMOREBIETA,3,2,20,7,7,4,0.6,0.4,536,373,0.82,0.73,6,15,3,1,0,0,3,1,4,3
3/9/23,HUESCA,MIRANDES,1,1,15,13,3,3,0.35,0.65,232,432,0.6,0.79,15,10,3,5,1,0,1,4,9,5
8/9/23,LEVANTE,ESPANYOL,1,4,15,16,3,10,0.6,0.4,529,362,0.88,0.82,13,13,0,0,1,0,0,2,5,3
9/9/23,BURGOS,EIBAR,1,0,6,14,3,2,0.41,0.59,340,459,0.71,0.8,10,13,2,2,0,1,1,2,5,10
9/9/23,OVIEDO,GIJON,0,0,6,7,0,1,0.45,0.55,215,280,0.29,0.50,12,17,2,3,0,0,1,1,7,1
9/9/23,TENERIFE,ALBACETE,2,0,10,14,4,4,0.37,0.63,355,602,0.72,0.82,19,9,2,1,0,0,1,2,1,7
9/9/23,LEGANES,HUESCA,2,0,11,8,7,3,0.54,0.46,498,415,0.83,0.84,19,12,0,2,0,0,1,2,2,3
10/9/23,FERROL,VILLARREALB,2,2,24,6,8,3,0.54,0.46,467,423,0.85,0.76,11,12,3,2,0,0,2,0,13,0
10/9/23,SANTANDER,AMOREBIETA,1,0,7,7,4,2,0.41,0.59,354,501,0.74,0.82,12,17,4,2,0,0,4,1,4,4
10/9/23,MIRANDES,ANDORRA,4,3,17,25,6,7,0.26,0.74,225,644,0.64,0.89,9,11,1,3,0,0,2,0,3,3
10/9/23,CARTAGENA,ZARAGOZA,1,3,19,9,5,5,0.51,0.49,398,419,0.82,0.8,11,6,2,1,0,0,2,0,6,4
10/9/23,VALLADOLID,ELCHE,1,1,15,8,5,3,0.52,0.48,422,396,0.82,0.81,15,13,4,2,1,1,1,2,7,6
11/9/23,ELDENSE,ALCORCON,2,2,17,13,3,4,0.6,0.4,473,320,0.8,0.7,14,7,0,3,0,1,4,2,5,2
15/9/23,ZARAGOZA,SANTANDER,1,1,6,12,2,4,0.64,0.36,487,241,0.73,0.52,21,16,2,5,0,0,2,3,6,6
16/9/23,HUESCA,VILLARREALB,2,2,8,6,2,2,0.54,0.46,467,421,0.82,0.82,14,14,5,3,0,0,1,2,7,0
16/9/23,VALLADOLID,CARTAGENA,1,0,22,9,8,4,0.58,0.42,491,358,0.83,0.75,14,14,3,1,0,0,1,4,9,3
16/9/23,ALCORCON,LEVANTE,0,2,10,21,1,5,0.29,0.71,246,625,0.74,0.9,10,16,4,3,1,0,2,2,3,6
16/9/23,ALBACETE,BURGOS,2,1,19,12,5,3,0.51,0.49,369,363,0.75,0.74,16,8,1,2,0,0,2,1,3,6
17/9/23,AMOREBIETA,MIRANDES,2,0,8,10,2,2,0.42,0.58,335,457,0.67,0.77,24,10,3,2,0,0,1,0,9,4
17/9/23,EIBAR,FERROL,2,0,13,8,6,1,0.55,0.45,525,435,0.82,0.78,10,10,0,2,0,0,4,0,4,6
17/9/23,ESPANYOL,ELDENSE,3,3,23,6,5,3,0.63,0.37,493,312,0.84,0.72,14,13,3,4,0,0,0,2,12,0
17/9/23,ELCHE,LEGANES,1,0,18,9,5,3,0.57,0.43,479,367,0.85,0.79,14,10,4,3,0,0,2,2,8,4
17/9/23,GIJON,TENERIFE,2,1,10,8,4,1,0.53,0.47,444,409,0.77,0.72,12,16,2,5,0,0,1,0,6,4
18/9/23,ANDORRA,OVIEDO,1,0,5,6,1,2,0.64,0.36,487,271,0.83,0.67,15,16,1,2,1,1,2,1,4,3
22/9/23,CARTAGENA,EIBAR,1,2,7,11,4,5,0.44,0.56,415,534,0.78,0.83,10,23,2,5,1,0,4,2,5,6
23/9/23,ANDORRA,GIJON,0,0,13,6,5,2,0.66,0.34,571,303,0.88,0.78,10,10,0,1,0,0,0,5,4,2
23/9/23,LEVANTE,ELDENSE,2,0,17,10,7,2,0.41,0.59,354,493,0.75,0.82,11,15,1,2,0,0,0,1,5,2
23/9/23,BURGOS,ELCHE,4,0,16,12,9,1,0.34,0.66,287,526,0.7,0.83,11,12,3,1,0,0,0,2,4,1
23/9/23,ALCORCON,HUESCA,0,2,19,6,3,2,0.65,0.35,546,312,0.81,0.66,15,7,2,1,0,0,1,3,4,2
23/9/23,SANTANDER,ALBACETE,2,1,8,18,3,4,0.45,0.54,279,330,0.47,0.54,13,13,2,3,0,0,2,1,0,6
24/9/23,VILLARREALB,AMOREBIETA,3,1,19,14,8,4,0.53,0.47,413,353,0.78,0.74,12,18,2,4,0,0,1,4,3,6
24/9/23,OVIEDO,VALLADOLID,0,1,10,16,3,5,0.48,0.52,381,401,0.77,0.8,14,13,1,3,0,0,3,0,6,6
24/9/23,MIRANDES,LEGANES,1,3,12,11,6,5,0.54,0.46,430,381,0.82,0.75,11,12,1,1,0,0,1,1,0,4
25/9/23,FERROL,ZARAGOZA,1,0,10,9,4,2,0.41,0.59,336,481,0.77,0.8,8,13,1,0,0,0,4,3,4,4
25/9/23,TENERIFE,ESPANYOL,1,0,13,18,6,2,0.46,0.54,381,428,0.8,0.84,22,9,3,3,0,0,3,2,6,10
29/9/23,LEGANES,SANTANDER,2,1,7,8,4,2,0.43,0.57,313,426,0.49,0.64,14,5,4,3,0,0,2,0,4,11
30/9/23,EIBAR,TENERIFE,3,0,14,8,5,2,0.57,0.43,477,376,0.79,0.74,16,9,3,1,0,0,1,2,4,3
30/9/23,ELCHE,LEVANTE,0,0,28,10,4,2,0.54,0.46,442,413,0.87,0.85,8,12,1,1,0,0,2,3,8,7
30/9/23,VILLARREALB,ALCORCON,2,2,25,10,8,5,0.68,0.32,535,260,0.85,0.67,16,13,2,3,0,0,0,0,7,4
30/9/23,ALBACETE,ANDORRA,3,1,12,11,7,2,0.24,0.76,189,635,0.6,0.87,12,15,2,2,0,0,3,2,4,3
1/10/23,ELDENSE,OVIEDO,1,3,10,10,4,4,0.51,0.49,441,449,0.77,0.79,18,10,1,0,0,0,1,2,6,4
1/10/23,ZARAGOZA,MIRANDES,0,1,8,8,2,0,0.6,0.4,513,343,0.83,0.79,10,11,2,4,1,0,0,2,6,2
1/10/23,VALLADOLID,BURGOS,3,0,11,12,6,2,0.49,0.51,423,419,0.82,0.78,14,10,2,2,0,0,0,2,3,6
1/10/23,AMOREBIETA,CARTAGENA,0,0,5,8,2,1,0.58,0.42,480,371,0.79,0.72,14,10,2,2,0,0,2,3,3,2
1/10/23,HUESCA,GIJON,0,1,6,13,2,6,0.47,0.53,368,415,0.81,0.82,11,15,6,6,0,0,3,3,9,8
2/10/23,ESPANYOL,FERROL,3,0,10,6,3,2,0.59,0.41,510,364,0.86,0.8,22,13,2,2,0,1,3,0,6,0
3/10/23,LEVANTE,VILLARREALB,1,1,15,7,4,1,0.63,0.37,608,367,0.83,0.77,18,9,2,2,0,0,2,0,8,2
3/10/23,ALCORCON,ALBACETE,1,2,23,9,6,4,0.59,0.41,417,312,0.77,0.65,10,11,0,6,0,0,0,0,6,1
3/10/23,TENERIFE,SANTANDER,2,0,20,9,6,3,0.54,0.46,480,452,0.8,0.7,18,7,1,4,0,0,0,2,7,4
4/10/23,OVIEDO,HUESCA,1,0,9,9,6,3,0.63,0.37,527,321,0.82,0.71,14,18,2,2,0,0,0,0,5,4
4/10/23,ELDENSE,VALLADOLID,0,1,4,8,0,2,0.54,0.46,445,393,0.73,0.71,16,18,1,4,0,0,4,2,3,2
4/10/23,BURGOS,LEGANES,1,0,5,12,3,2,0.39,0.61,382,567,0.8,0.86,14,11,5,3,0,1,0,0,0,8
4/10/23,GIJON,ELCHE,2,0,20,10,8,1,0.47,0.53,434,474,0.87,0.85,9,15,0,0,0,0,3,1,6,3
5/10/23,MIRANDES,EIBAR,1,3,7,15,3,3,0.45,0.55,417,493,0.76,0.81,9,14,2,2,0,0,4,2,0,7
5/10/23,ANDORRA,ZARAGOZA,0,1,5,5,0,3,0.4,0.6,346,530,0.79,0.85,8,16,2,4,1,0,1,3,4,0
5/10/23,CARTAGENA,ESPANYOL,0,2,10,8,1,4,0.4,0.6,356,544,0.74,0.82,17,14,4,3,0,0,2,2,6,1
5/10/23,FERROL,AMOREBIETA,1,0,11,4,3,2,0.45,0.55,443,528,0.83,0.83,12,9,1,1,0,0,2,0,5,3
6/10/23,ALBACETE,LEVANTE,0,2,14,10,4,7,0.66,0.34,583,322,0.86,0.75,11,11,0,1,0,0,0,0,6,3
7/10/23,HUESCA,ELDENSE,0,1,17,15,1,3,0.47,0.53,329,358,0.71,0.75,8,17,1,6,1,0,0,4,4,8
7/10/23,SANTANDER,GIJON,3,2,20,21,7,8,0.43,0.57,236,333,0.50,0.57,13,7,4,4,0,0,1,2,5,7
7/10/23,LEGANES,OVIEDO,0,0,9,6,3,2,0.37,0.63,304,502,0.74,0.85,11,13,3,1,0,0,1,0,1,4
8/10/23,AMOREBIETA,EIBAR,1,2,10,12,7,7,0.46,0.54,360,411,0.73,0.75,12,12,3,1,0,0,1,1,5,5
8/10/23,VALLADOLID,MIRANDES,3,2,23,6,9,3,0.72,0.28,575,235,0.87,0.64,10,11,3,3,0,0,1,2,7,1
8/10/23,FERROL,CARTAGENA,1,1,12,11,4,4,0.68,0.32,534,266,0.86,0.72,11,19,0,4,0,0,0,4,4,6
8/10/23,TENERIFE,BURGOS,2,1,8,14,2,6,0.49,0.51,403,408,0.82,0.84,12,15,1,4,1,0,5,2,4,6
8/10/23,ZARAGOZA,ALCORCON,0,2,15,11,5,2,0.65,0.35,495,282,0.85,0.65,12,18,5,4,0,0,5,1,6,1
9/10/23,ELCHE,ANDORRA,2,1,24,4,9,1,0.44,0.56,322,428,0.77,0.83,13,15,0,0,0,0,3,2,10,4
9/10/23,VILLARREALB,ESPANYOL,3,1,18,16,7,4,0.41,0.59,321,441,0.77,0.85,17,12,1,4,0,0,2,2,7,9
13/10/23,OVIEDO,ALBACETE,3,0,9,12,3,2,0.65,0.35,539,300,0.86,0.74,10,14,1,2,0,1,1,0,6,2
14/10/23,MIRANDES,TENERIFE,1,1,9,9,3,4,0.47,0.53,418,465,0.8,0.79,10,14,3,3,0,0,4,2,5,2
14/10/23,CARTAGENA,SANTANDER,2,3,22,20,6,10,0.53,0.47,383,379,0.83,0.8,10,18,2,4,0,0,1,0,6,4
14/10/23,GIJON,ZARAGOZA,2,2,13,13,4,3,0.61,0.39,447,294,0.85,0.77,12,10,3,2,0,0,5,0,5,3
14/10/23,ESPANYOL,VALLADOLID,2,0,5,11,3,3,0.33,0.67,272,536,0.69,0.87,15,14,3,3,0,0,2,6,0,5
15/10/23,BURGOS,VILLARREALB,3,2,11,12,4,3,0.4,0.6,326,477,0.73,0.82,13,8,0,4,0,0,4,1,9,2
15/10/23,ELDENSE,ELCHE,1,1,9,6,2,2,0.38,0.62,278,457,0.69,0.81,20,16,4,3,0,0,3,1,6,5
15/10/23,ANDORRA,ALCORCON,2,0,12,12,3,3,0.65,0.35,510,280,0.88,0.73,6,15,0,1,0,0,2,1,3,2
15/10/23,EIBAR,HUESCA,1,1,14,5,2,2,0.69,0.31,599,284,0.81,0.63,8,14,1,3,0,0,4,1,6,1
15/10/23,LEGANES,AMOREBIETA,6,0,17,8,10,1,0.45,0.55,358,416,0.77,0.8,13,11,1,2,0,0,2,0,2,5
16/10/23,LEVANTE,FERROL,1,0,9,14,4,1,0.47,0.53,422,448,0.81,0.79,13,11,4,1,0,0,2,3,3,3
20/10/23,ESPANYOL,LEGANES,0,1,12,13,3,4,0.61,0.39,549,378,0.83,0.75,12,12,2,4,1,0,2,6,4,1
21/10/23,AMOREBIETA,OVIEDO,0,0,9,16,1,2,0.33,0.67,290,560,0.64,0.81,17,7,1,4,1,0,1,0,2,6
21/10/23,VILLARREALB,MIRANDES,0,3,15,7,3,3,0.67,0.33,586,296,0.83,0.69,8,13,1,1,0,0,1,4,8,1
21/10/23,TENERIFE,LEVANTE,0,0,17,8,4,1,0.58,0.42,516,391,0.82,0.73,14,13,4,3,0,0,3,3,3,3
21/10/23,ZARAGOZA,EIBAR,2,3,13,10,5,6,0.44,0.56,342,423,0.72,0.74,9,14,4,3,0,0,2,5,3,5
22/10/23,FERROL,ELDENSE,1,1,14,11,3,3,0.55,0.45,433,358,0.78,0.7,12,16,0,2,0,0,0,2,8,4
22/10/23,HUESCA,ELCHE,0,1,7,4,1,3,0.53,0.47,457,431,0.78,0.75,16,20,3,3,0,0,2,1,4,1
22/10/23,ALBACETE,GIJON,1,3,25,8,6,4,0.64,0.36,436,240,0.81,0.75,10,11,3,2,0,0,1,1,11,0
22/10/23,SANTANDER,BURGOS,3,0,17,12,6,2,0.56,0.44,380,273,0.61,0.42,8,11,1,3,0,0,1,0,4,4
22/10/23,VALLADOLID,ANDORRA,2,0,11,17,4,5,0.26,0.74,206,609,0.7,0.87,16,10,5,2,0,0,4,2,6,6
23/10/23,ALCORCON,CARTAGENA,1,1,19,16,2,6,0.53,0.47,438,391,0.82,0.75,7,9,2,3,0,0,2,0,6,7
27/10/23,EIBAR,VALLADOLID,5,1,22,10,13,2,0.44,0.56,403,516,0.8,0.81,13,12,1,0,0,0,5,2,2,1
28/10/23,ELDENSE,AMOREBIETA,2,0,12,11,4,3,0.49,0.51,368,365,0.73,0.74,13,14,1,2,0,0,2,3,2,7
28/10/23,GIJON,ESPANYOL,2,0,9,17,3,4,0.39,0.61,312,477,0.77,0.86,13,8,6,3,0,0,1,0,4,7
28/10/23,ANDORRA,LEVANTE,2,0,21,7,10,1,0.56,0.44,446,349,0.85,0.75,11,8,2,3,0,0,5,1,7,6
28/10/23,ELCHE,TENERIFE,2,1,9,9,4,2,0.54,0.46,462,397,0.78,0.74,11,16,0,6,0,0,3,3,4,4
29/10/23,MIRANDES,CARTAGENA,2,1,13,14,4,5,0.49,0.51,377,395,0.83,0.8,9,14,0,3,0,0,1,0,4,5
29/10/23,HUESCA,ALBACETE,0,0,8,8,1,5,0.53,0.47,464,421,0.8,0.75,12,13,2,1,0,0,0,4,6,1
29/10/23,LEGANES,VILLARREALB,1,0,10,8,5,3,0.47,0.53,426,477,0.77,0.82,11,16,2,2,0,1,4,1,7,0
29/10/23,OVIEDO,ALCORCON,2,0,12,6,4,3,0.49,0.51,448,468,0.85,0.82,9,14,1,5,0,0,1,1,6,2
29/10/23,SANTANDER,FERROL,1,3,9,13,5,8,0.58,0.42,406,270,0.56,0.40,12,22,1,5,0,0,3,1,5,4
30/10/23,BURGOS,ZARAGOZA,1,1,11,8,2,5,0.59,0.41,441,313,0.77,0.72,17,16,2,2,0,0,5,0,4,1
3/11/23,ESPANYOL,EIBAR,2,2,13,13,6,4,0.44,0.56,426,545,0.81,0.84,9,7,1,1,0,0,2,6,4,4
4/11/23,VILLARREALB,GIJON,0,3,23,10,6,6,0.49,0.51,448,474,0.85,0.81,15,9,0,0,0,0,1,3,9,4
4/11/23,LEVANTE,MIRANDES,2,2,10,10,5,4,0.45,0.55,364,422,0.78,0.8,19,11,4,3,2,0,2,2,2,6
4/11/23,VALLADOLID,TENERIFE,2,0,16,6,6,1,0.52,0.48,334,291,0.58,0.44,10,13,1,3,0,0,1,2,9,4
4/11/23,ALBACETE,ELCHE,1,1,14,5,5,3,0.56,0.44,436,347,0.78,0.72,18,17,3,4,0,1,5,1,6,3
5/11/23,FERROL,ANDORRA,1,0,11,12,4,5,0.32,0.68,263,566,0.68,0.86,19,18,4,3,0,0,3,4,3,3
5/11/23,AMOREBIETA,HUESCA,0,1,7,8,0,3,0.49,0.51,413,433,0.74,0.76,13,12,3,2,1,0,1,1,2,4
5/11/23,CARTAGENA,LEGANES,0,3,11,8,1,5,0.51,0.49,463,470,0.81,0.84,15,10,1,2,0,0,0,3,3,5
